"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"NA";"Hacker1996";"[The revision of the genus Hadena Schrank, 1802 (Lepidoptera: Noctuidae).]";"Hacker,Hermann";"Esperiana";1996;"5";" ";6,00;"696726-775";"Pdf no disponible en journal (link)"
"Facil acceso";"Jimenez Guirado1996";"[Morphometrical analysis of the genus Anatonchus Cobb, 1916 (Nematoda, Mononchida) in Spain.]";"Jimenez Guirado,D.;Calatayud,L.;Pena Santiago,R.";" ";1996;" ";" ";115,00;" ";"Correo"
"NA";"Tarrier1996(1997)";"Protection of the Sierra Nevada (Spain) habitats, Biosphere Reserve (UNESCO): The maximum level of destruction has been reached";"Tarrier,Michel";"Alexanor";1996;"19";"07-Aug";450,00;"454";"Journal no encontrado, articulo en scholar tampoco"
"NA";"Autoría conjunta1997";"[Collecting insects, why and for what?]";;"Quercus";1997;"139";" ";50,00;" ";"revistaquercus.es no ofrece datos anteriores a 2004"
"NA";"PARRAGA1981b";"Nematodes of the order Dorylaimida from Andalucia Oriental, Spain. The genus Mesodorylaimus Andrassy, 1959. 2. Two new species with pre- and/or postvulval ornamentations.";"Abolafia,Joaquin;Pena Santiago,Reyes";"Russian Journal of Nematology";1997;"5";"2";81,00;"88";"Universidad de jaen, journal sin acceso a pdf"
"NA";"Bengtsson1997";"Scythrididae.";"Bengtsson,Bengt A.";"Microlepidoptera of Europe";1997;"2";" ";1,00;"301";"Libro, acceso gratuito no encontrado"
"Facil acceso";"Gomez1997";"Interactions between a high-mountain shrub, Genista versicolor (Fabaceae), and its seed predators";"Gomez,JM;Garcia,D.";"Ecoscience";1997;"4";"1";48,00;"56";"Correo"
"NA";"Liebanas1997";"Nematodes of the order Dorylaimida from Andalucia Oriental, Spain. The genus Nygolaimus Cobb, 1913. 2. Description of two new species.";"Liebanas,Gracia;Pena Santiago,Reyes";"Russian Journal of Nematology";1997;"5";"1";7,00;"16";"Abstract en web"
"Facil acceso";"PulidoBosch1997b";"Some aspects of the functioning of careos determined by tracer experiments: Example of La Alpujarra (Spain)";"PulidoBosch,A.;BenSbih,Y.;Vallejos,A.";" ";1997;" ";" ";434,00;" ";"Correo"
"Facil acceso";"Gil1998";"[Altitudinal distribution of nests of the golden eagle Aquila chrysaetos in Sierra Nevada (southeast Spain).]";"Gil,Jose Maria;Molino,Francisco;Valenzuela,Gerardo";" ";1998;" ";" ";277,00;" ";"Granada"
"NA";"Remane1998";"Two new Cixius (Ceratocixius) species from south-western Palaearctic Region (Insecta: Homoptera: Auchenorrhyncha: Cixiidae)";"Remane,Reinhard;Holzinger,Werner E.";"Reichenbachia";1998;"32";"25-53";181,00;"186";"Journal no encontrado"
"NA";"Rieradevall1998";"The zoobenthos of six remote high mountain lakes in Spain and Portugal";"Rieradevall,M.;Jimenez,M.;Prat,N.";"International Association of Theoretical and Applied Limnology, Vol 26, Pt 4";1998;"26";" ";2132,00;"2136";"Pdf no disponible en journal"
"Facil acceso";"Garrido-Garcia1999";"New altitude record for Chiroptera in Europe";"Garrido-Garcia,J. A.";"Myotis";1999;"37";" ";103,00;"NA";
"NA";"Kallies1999";"Revision of the south-western Palaearctic species of Synansphecia (Sesiidae)";"Kallies,Axel";"Nota Lepidopterologica";1999;"22";"2";82,00;"114";"Contents of published volumes (from volume 26 onwards incl. pdf reprints)"
"NA";"Novoa1999";"[Carabidae of west central Rif; Morocco (Coleoptera)]";"Novoa,Francisco;Baselga,Andres";"Nouvelle Revue d'Entomologie";1999;"16";"4";311,00;"325";"PDF no disponible en web"
"Facil acceso";"Olivares1999";"Arethusana boabdil (Rambur, 1840) from Grenada, Andalusia: An excellent species (Lepidoptera: Nymphalidae: Satyrinae)";"Olivares,Javier;Jutzeler,David;Leestmans,Ronny";"Linneana Belgica";1999;"17";"4";135,00;"154";"Correo"
"NA";"Perez1999";"Hematologic parameters of the Spanish ibex (Capra pyrenaica)";"Perez,JM;Granados,JE;Gonzalez,FJ;Ruiz-Martinez,I.;Soriguer,RC";"Journal of Zoo and Wildlife Medicine";1999;"30";"4";550,00;"554";"Online solo desde 2009 en la web del journal (link)"
"NA";"Tinaut1999";"The relationship of nest rock dimensions to reproductive success and nest permanence in a high-mountain ant, Proformica longiseta (Hymenoptera : Formicidae)";"Tinaut,A.;Fernandez-Escudero,I.;Ruano,F.;Cerda,X.";"Sociobiology";1999;"34";"1";99,00;"117";"Correo"
"NA";"Velasco1999";"Aportation to the limnological knowledge of eight mountain lakes and ponds in Asturias (Spain)";"Velasco,Jose Luis;Araujo,Rafael;Alvarez,Miguel;Colomer,Manuel;Baltanas,Angel";"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica";1999;"95";"01-feb";181,00;"191";"Publicado online desde 2005"
"NA";"Wyrwoll1999";"A revised description of the Mediterranean (= southern Spanish) ibex.";"Wyrwoll,Thomas W.";"Saugetierkundliche Mitteilungen";1999;"44";"2";93,00;"98";"No encontrado"
"Facil acceso";"Avila2000";"[Aphodius (Loraspis) frater Mulsant and Rey, 1870 present in the south of Spain (Coleoptera, Scarabaeoidea, Aphodiidae)]";"Avila,Jose M.;Romero-Alcaraz,Eduardo";"Nouvelle Revue d'Entomologie";2000;"17";"1";67,00;"68";"Correo"
"Facil acceso";"Bocio2000";"[Application of phytosociology in the restoration of fire-affected zones. An example in Sierra Nevada (southeast Spain).]";"Bocio,I.;Lorite,J.;Navarro,F. B.;Valle,F.";"[Data of the sigmatist (Braun-Blanquet) phytosociology.Structure, management, use.]";2000;"Volume 27";" ";979,00;"997";"Correo"
"NA";"Dathe2000";"Studies on the systematics and taxonomy of the genus Hylaeus F. (3) (Apidae, Colletinae). A revision of the Hylaeus nivalis group in Europe, and the identity of additional Western Palaeartic species";"Dathe,Holger H.";"Beitraege zur Entomologie";2000;"50";"1";151,00;"174";"Pdf no disponible en journal"
"Facil acceso";"Gomez2000b";"Differential impact of vertebrate and invertebrate herbivores on the reproductive output of Hormathophylla spinosa";"Gomez,JM;Zamora,R.";"Ecoscience";2000;"7";"3";299,00;"306";"Correo"
"NA";"Martin2000";"High endemism areas in the Iberian Peninsula";"Martin,J.;Garcia-Barros,E.;Gurrea,P.;Lucianez,M. J.;Munguira,M. L.;Sanz,M. J.;Simon,J. C.";"Belgian Journal of Entomology";2000;"2";"1";47,00;"57";"Pdf no disponible en journal"
"NA";"Rieradevall2000";"[The zoobenthos of lakes and aquatic areas of the high mountains of the Iberian Peninsula and their value as indicators of environmental changes.]";"Rieradevall,M.;Prat,N.";"Universidad Autonoma de Madrid Coleccion de Estudios";2000;"63";" ";187,00;"200";"Libro no disponible gratuitamente a través de UAM, y sin pdf en dialnet"
"Sin";"Rowlings2000";"An early morning in the Sierra Nevada, Spain.";"Rowlings,Matthew";"Bulletin of the Amateur Entomologists' Society";2000;"59";"429";47,00;"49";
"Facil acceso";"Boettinger2001";"Soil acidification following burning of pine plantations, Sierra Nevada, Spain";"Boettinger,Janis L.;Schupp,Eugene W.;Castro,Jorge;Gomez,Jose Maria;Zamora,Regino";"Ecological Society of America Annual Meeting Abstracts";2001;"86";" ";257,00;"NA";
"NA";"Casas2001";"The larva and pupa of Diamesa veletensis Serra-Tosio, 1971 (Diptera: Chironomidae)";"Casas,J. Jesus;Langton,Peter H.";"Entomologist's Gazette";2001;"52";"2";117,00;"124";"Pdf no disponible en journal"
"Facil acceso";"Gonzalez-Megias2001b";"Spatial autocorrelation affects regional population dynamic of the beetle Timarcha lugens";"Gonzalez-Megias,Adela;Sanchez-Pinero,Francisco;Gomez,Jose M.";"Ecological Society of America Annual Meeting Abstracts";2001;"86";" ";283,00;"NA";"Correo"
"NA";"Morales-Baquero2001";"Effect of the catchment areas on the abundance of zooplankton in high mountain lakes of the Sierra Nevada (Spain)";"Morales-Baquero,R.;Conde-Porcuna,J. M.";"International Association of Theoretical and Applied Limnology, Proceedings, Vol 27, Pt 4";2001;"27";" ";1804,00;"1808";"Correo"
"Facil acceso";"Ortega2001b";"On the presence of Russula laccata in Sierra Nevada (Andalucia, southern Spain) and its taxonomic relationships with R. norvegica";"Ortega,A.;Esteve-Raventos,F.";"Mycotaxon";2001;"77";" ";39,00;"45";"Correo"
"Facil acceso";"Ortega2001";"Contribution to the knowledge of Pezizales (Ascomycota) from Andalusia (Spain)";"Ortega,A.;Esteve-Raventos,F.";"Nova Hedwigia";2001;"72";"03-Apr";429,00;"439";"Correo"
"Sin";"Stueben2001";"[Description of a new Kyklioacalles species from south Spain - with a key to the species of the genus Kyklioacalles. (Col.: Curculionidae, Cryptorhynchinae).]";"Stueben,Peter E.";"Snudebiller";2001;"2";" ";155,00;"161";
"Facil acceso";"Gomez2002c";"Limitations to the regeneration of Acer granatense in the Mediterranean mountains: A multi-scale approach.";"Gomez,Lorena;Zamora,Regino;Maraa Gomez,Jose";"Ecological Society of America Annual Meeting Abstracts";2002;"87";" ";356,00;"NA";"Correo"
