PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	'T HART H; VAN DEN BERG A J J								THE WHITE FLOWERED EUROPEAN SEDUM SPECIES 2. CYTO TAXONOMIC NOTES ON SEDUM-ALBUM AND SEDUM-GYPSICOLUM								Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen Series C Biological and Medical Sciences				85	4			677	689					1982	1982										0	0	0	0	0	0			0023-3374			BIOSIS:PREV198376023939		
J	LERAUT P								STUDY OF SCOPARIINEAE LEPIDOPTERA PYRALIDAE 2 NEW TAXA FROM THE MEDITERRANEAN REGION								Alexanor				12	3			117	120					1981	1981										0	0	0	0	0	0			0002-5208			BIOSIS:PREV198274010702		
J	PARRAGA J; AGUILAR J				Parraga, Jesus/L-1042-2014				EDAPHOLOGICAL STUDY OF THE DEHESA OF CAMARATE SIERRA-NEVADA GRANADA SPAIN 1. MACRO AND MICRO MORPHOLOGICAL CHARACTERISTICS								Anales de Edafologia y Agrobiologia				40	5-6			775	796					1981	1981										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198274072330		
J	Tinaut Ranera, J.A.								Rossomyrmex minuchae nov. sp. (Hym. Formicidae) encontrada en Sierra Nevada, Espana.								Boletin de la Asociacion Espanola de Entomologia				4				195	203					1980[1981]	1981										1	0	0	1	0	1			0210-8984			ZOOREC:ZOOR11800030195		
J	GIL J A; VARO J								BRYO SOCIOLOGIC STUDY OF RHEOPHILIC COMMUNITIES OF THE SIERRA-NEVADA SPAIN								Cryptogamie Bryologie Lichenologie				2	4			423	440					1981	1981										0	0	0	0	0	0			0181-1576			BIOSIS:PREV198375017349		
J	PASCUAL F								DESCRIPTION OF A MALE EUMIGUS-RUBIOI ORTHOPTERA PAMPHAGIDAE								EOS-Revista Espanola de Entomologia				57	1-4			195	200					1981	1981										0	0	0	0	0	0			0013-9440			BIOSIS:PREV198375065534		
J	CAMACHO, JPM; DELAGUARDIA, RD; REJON, MR				Camacho, Juan Pedro/L-6869-2014	Camacho, Juan Pedro/0000-0002-2507-9814			POLYSOMY AND SUPERNUMERARY ISOCHROMOSOMES IN THE GRASSHOPPER OMOCESTUS-BOLIVARI (CHOPARD)								HEREDITY				46	FEB			123	&		10.1038/hdy.1981.11			1981	1981										8	0	0	9	0	10			0018-067X			WOS:A1981LD07500011		
J	SEITZ, W								CHEMOSYSTEMATOLOGY TODAY - SURVEY REPRESENTED BY SOME EXAMPLES OF THE ANGIOSPERMS FAMILIES RANUNCULACEAE, ONAGRACEAE AND VALERIANACEAE AS WELL AS FROM THE GROUP OF LICHENS								BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT				92	2-3			519	534					1980	1980										0	0	0	0	0	0			0365-9631			WOS:A1980JJ74200019		
J	Ruiz Bustos, A.; Padial, J.								Datos sobre Microtus nivalis (Martens, 1842) actual y fosil en Granada (Andalucia).								CUADERNOS DE CIENCIAS BIOLOGICAS UNIVERSIDAD DE GRANADA				6-7				87	94					1977-1978[1980]	1980										0	0	0	0	0	0						ZOOREC:ZOOR11900054204		
J	Martinez, R.								Seasonal variation of phytoplankton biomass and photosynthesis in the high-mountain Lake La Caldera (Sierra, Nevada, Spain).								Developments in Hydrobiology				3				111	119					1980	1980										7	0	0	6	0	7			0167-8418			ZOOREC:ZOOR11900006555		
S	MARTINEZ R								SEASONAL VARIATION OF PHYTO PLANKTON BIOMASS AND PHOTOSYNTHESIS IN THE HIGH MOUNTAIN LAKE LA-CALDERA SIERRA-NEVADA SPAIN								DOKULIL, M., H. METZ AND D. JEWSON (ED.). DEVELOPMENTS IN HYDROBIOLOGY, VOL. 3. SHALLOW LAKES: CONTRIBUTIONS TO THEIR LIMNOLOGY; MEETING, ILLMITZ, AUSTRIA, SEPT. 23-30, 1979. XII+212P. W. JUNK BV PUBLISHERS: THE HAGUE, NETHERLANDS; BOSTON, MASS, USA. ILLUS		Developments in Hydrobiology						P111	120					1980 (RECD. 1981)	1980										0	0	0	0	0	0			0167-8418		90-6193-753-1	BIOSIS:PREV198121057117		
J	LACOURT J								NOTES ON THE ATRA GROUP OF THE GENUS TENTHREDO HYMENOPTERA TENTHRIDINIDAE WITH A DESCRIPTION OF 2 NEW TAXA								Nouvelle Revue d'Entomologie				10	2			189	200					1980	1980										2	0	0	2	0	3			0374-9797			BIOSIS:PREV198070071999		
J	Calle, J.								Noctuidae recolectados en Sierra Nevada (Granada). (Contribucion a los Noctuidae espanoles no. 26).								SHILAP Revista de Lepidopterologia				8	3			201	202					1980	1980										0	0	0	0	0	0			0300-5267			ZOOREC:ZOOR11700033829		
J	DELGADO CALVO-FLORES R; BARAHONA FERNANDEZ E; LINARES J								THE SOILS OF THE BARRANCO-HONDO SIERRA-NEVADA SPAIN 1. TYPOLOGY AND SOIL FORMING FACTORS								Anales de Edafologia y Agrobiologia				38	9-10			1543	1554					1979	1979										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198171063208		
J	DELGADO CALVO-FLORES R; HUERTAS F; LINARES J								THE SOILS OF THE BARRANCO-HONDO SPAIN 2. GEOCHEMICAL STUDY								Anales de Edafologia y Agrobiologia				38	9-10			1555	1572					1979	1979										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198171063209		
J	Tinaut Ranera, J.A.								Estudio de la mirmecofauna de los Borreguiles de S. Juan (Sierra Nevada, Granada) (Hym. Formicidae).								Boletin de la Asociacion Espanola de Entomologia				3				173	183					1979	1979										1	0	0	0	0	1			0210-8984			ZOOREC:ZOOR11700021576		
J	Alba Tercedor, J.								Larvas de plecopteros de las estribaciones de Sierra Nevada (Granada). Factores que intervienen en su distribucion.								Boletin de la Asociacion Espanola de Entomologia				3				193	198					1979	1979										0	0	0	0	0	0			0210-8984			ZOOREC:ZOOR11700021694		
J	WERNER R G								THE LICHEN FLORA OF THE BETIC-RIFA CORDILLERA SPAIN PHYTO GEOGRAPHIC AND ECOLOGIC STUDY								Collectanea Botanica (Barcelona)				11				409	471					1979	1979										7	0	0	8	0	8			0010-0730			BIOSIS:PREV198273029852		
J	Wagner, R.								Zwei neue Psychodiden (Diptera: Psychodidae) aus Sudeuropa.								Entomologische Zeitschrift				89	17			193	196					1979	1979										0	0	0	1	0	1			0013-8843			ZOOREC:ZOOR11600023061		
J	Ebmer, A.W.								Erganzungen zur Bienenfauna Iberiens. Die Gattungen Halictus, Lasioglossum und Dufourea (Apoidea, Hymenoptera).								Linzer Biologische Beitraege				11	1			117	146					1979	1979										2	0	1	5	0	6			0253-116X			ZOOREC:ZOOR11700021640		
J	PASCUAL F								PRELIMINARY STUDY OF ORTHOPTERA OF THE SIERRA-NEVADA SPAIN 4. ALTITUDE DISTRIBUTION								Boletin de la Asociacion Espanola de Entomologia				2				49	64					1978	1978										5	0	0	4	0	5			0210-8984			BIOSIS:PREV198172031806		
J	Alba Tercedor, J.; Jimenez Millan, F.								Larvas de efemeropteros de las estribaciones de Sierra Nevada. Factores que intervienen en su distribucion.								Boletin de la Asociacion Espanola de Entomologia				2				91	103					1978	1978										1	0	0	2	0	2			0210-8984			ZOOREC:ZOOR11500017941		
J	Pascual, F.								Estudio preliminar de los ortopteros de Sierra Nevada. 1. Introduccion general e inventario de especies.								Boletin de la Asociacion Espanola de Entomologia				1				163	175					1977[1978]	1978										0	0	0	0	0	0			0210-8984			ZOOREC:ZOOR11500015289		
J	PASCUAL F								DESCRIPTION OF A NEW SPECIES CTENODECTICUS-GRANATENSIS NEW-SPECIES FROM THE SIERRA-NEVADA SPAIN ORTHOPTERA TETTIGONIIDAE DECTICINAE								Bulletin Zoologisch Museum Universiteit van Amsterdam				6	14			105	108					1978	1978										0	0	0	2	0	2			0165-9464			BIOSIS:PREV197968003492		
J	Pascual, F.								Descripcion de una neuva especie de Omocestus Bolivar, 1878, de Sierra Nevada, Espana (Orth., Acrididae, Gomphocerinae).								Eos-Revista Espanola de Entomologia				52				159	165					1976[1978]	1978										0	0	0	0	0	0			0013-9440			ZOOREC:ZOOR11500022063		
J	PASCUAL F								DESCRIPTION OF A NEW SPECIES OMOCESTUS-ILORENTEAE NEW-SPECIES FROM THE SIERRA-NEVADA SPAIN ORTHOPTERA ACRIDIDAE GOMPHOCERINAE								EOS-Revista Espanola de Entomologia				52	1-4			159	166					1978	1978										0	0	0	1	0	1			0013-9440			BIOSIS:PREV197967067666		
J	Pascual, F.								Descripcion de una nueva especie de Chorthippus Fieber, 1852, de Sierra Nevada, Espana (Orth., Acrididae).								Eos-Revista Espanola de Entomologia				52				167	173					1976[1978]	1978										1	0	0	1	0	1			0013-9440			ZOOREC:ZOOR11500022064		
J	PASCUAL F								CHORTHIPPUS-NEVADENSIS NEW-SPECIES FROM THE SIERRA-NEVADA SPAIN ORTHOPTERA ACRIDIDAE								EOS-Revista Espanola de Entomologia				52	1-4			167	174					1978	1978										1	0	0	1	0	1			0013-9440			BIOSIS:PREV197967067665		
J	Schmidt-Koehl, W.								Tagfalterbeobachtungen in Marokko (Mittlererer Atlas, Hoher Atlas) und in Suedspanien (Sierra Nevada) im Juli und August 1977 (Insecta, Lepidoptera).								Mitteilungen der Entomologischen Gesellschaft Basel				28	2			24	50					1978	1978										0	0	0	0	0	0			1421-3397			ZOOREC:ZOOR11500024181		
J	SCHMIDT-KOEHL W								BUTTERFLY OBSERVATIONS IN MOROCCO MIDDLE ATLAS AND IN SOUTHERN SPAIN SIERRA-NEVADA IN JULY AUGUST 1977 INSECTA LEPIDOPTERA								Mitteilungen der Entomologischen Gesellschaft Basel				28	2			25	50					1978	1978										0	0	0	0	0	0			1421-3397			BIOSIS:PREV197916038559		
J	Pascual, F.								Estudio preliminar de los ortopteros de Sierra Nevada. 2: Claves para la determinacion de especies.								Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie				1	1			1	63					1978	1978										1	0	0	1	0	1			0210-6469			ZOOREC:ZOOR11500028948		
J	Pascual, F.								Estudio preliminar de los ortopteros de Sierra Nevada, 3: Distribucion ecologica.								Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie				1	2			65	121					1978	1978										1	0	0	1	0	1			0210-6469			ZOOREC:ZOOR11500029014		
J	MARTINEZ R								PHYTO PLANKTON SPECIES BIOMASS AND DIVERSITY IN LAKE LA-CALDERA SIERRA-NEVADA GRANADA SPAIN								Acta Hydrobiologica				19	2			95	108					1977	1977										8	0	0	8	0	8			0065-132X			BIOSIS:PREV197865038666		
J	VAILLANT, F								THAUMALEIDAE FROM EUROPE [DIPTERA]								ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE				13	4			695	710					1977	1977										4	0	0	5	0	5			0037-9271			WOS:A1977ER88100010		
J	GERVAIS C								HYBRIDIZATION TESTS IN PERENNIAL SPANISH OATS GENUS HELICTOTRICHON FROM THE HELICTOTRICHON-FILIFOLIUM HELICTOTRICHON-SARRACENORUM COMPLEX								Bulletin de la Societe Neuchateloise des Sciences Naturelles				100				137	142					1977	1977										1	0	0	0	0	1			0366-3469			BIOSIS:PREV197865024909		
J	PUGA, E								EXISTENCE OF ECLOGITES IN SIERRA-NEVADA COMPLEX (BETIC CORDILLERAS, SOUTH OF SPAIN) AND THEIR PROBABLE ORIGIN IN MESOZOIC-OCEANIC CRUST								COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES SERIE D				285	16			1379	1382					1977	1977										28	0	0	1	0	28						WOS:A1977EJ85400003		
J	TORRESROLDAN, RL								PRESENCE OF CALCIUM SILICATES AND SEAPOLITE BANDED ROCKS IN ALPUJARRID FORMATIONS IN SW OF SIERRA-NEVADA (S OF SPAIN) - GEOLOGICAL SIGNIFICANCE								COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES SERIE D				284	17			1643	1645					1977	1977										0	0	0	0	0	0						WOS:A1977DH38000006		
J	STEINMANN H								A REVISION OF THE GENUS ABOROLABIS DERMAPTERA CARCINOPHORIDAE								EOS-Revista Espanola de Entomologia				53	1-4			213	222					1977	1977										0	0	0	0	0	0			0013-9440			BIOSIS:PREV198070044607		
