"key"	"Authors..Primary"	"Title.Primary"	"Pub.Year"	"Periodical.Full"	"Periodical.Abbrev"	"Keywords"
38	"Vaillant,F."	"Psychodidae - Psychodinae [continuing]."	1976	"Fliegen palaearkt Reg (D)"	" "	"Zoology;Berdeniella [Europe / / New taxa] [ / / Systematic accounts of species;Continuation]."
39	"Gervais,C."	"Hybridization Tests in Perennial Spanish Oats Genus Helictotrichon from the Helictotrichon-Filifolium Helictotrichon-Sarracenorum Complex"	1977	"Bulletin de la Societe Neuchateloise des Sciences Naturelles"	"Bull.Soc.Neuchatel.Sci.Nat."	"Agriculture;Cell Biology;Genetics & Heredity"
40	"Martinez,R."	"Phyto Plankton Species Biomass and Diversity in Lake La-Caldera Sierra-Nevada Granada Spain"	1977	"Acta Hydrobiologica"	" "	"Environmental Sciences & Ecology;Marine & Freshwater Biology"
41	"PUGA,E."	"Existence of Eclogites in Sierra-Nevada Complex (Betic Cordilleras, South of Spain) and their Probable Origin in Mesozoic-Oceanic Crust"	1977	"Comptes Rendus Hebdomadaires Des Seances De L Academie Des Sciences Serie D"	" "	"Science & Technology - Other Topics ER"
42	"Saint Girons,H."	"The Systematics of Vipera-Latastei-Latastei and a Description of Vipera-Latastei-Gaditana New-Subspecies Reptilia Viperidae"	1977	"Revue Suisse de Zoologie"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Dermatology;Anatomy & Morphology"
43	"Selga,D.;Simon,J. C.;Acon,M."	"Variations and Characteristics of the Terrestrial Micro Arthropod Fauna in Sierra-Nevada Spain"	1977	" "	" "	"Environmental Sciences & Ecology;Physiology;Agriculture ER"
44	"Steinmann,H."	"A Revision of the Genus Aborolabis Dermaptera Carcinophoridae"	1977	"EOS-Revista Espanola de Entomologia"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
45	"SURINACH,E.;UDIAS,A."	"Determination of Root Under Sierra-Nevada (Spain) by Numerical Inversion of Seismic Data"	1977	"Transactions-American Geophysical Union"	" "	"Geochemistry & Geophysics ER"
46	"TORRESROLDAN,RL"	"Presence of Calcium Silicates and Seapolite Banded Rocks in Alpujarrid Formations in Sw of Sierra-Nevada (S of Spain) - Geological Significance"	1977	"Comptes Rendus Hebdomadaires Des Seances De L Academie Des Sciences Serie D"	" "	"Science & Technology - Other Topics ER"
47	"VAILLANT,F."	"Thaumaleidae from Europe [Diptera]"	1977	"Annales de la Societe Entomologique de France"	"Ann.Soc.Entomol.Fr."	"Entomology ER"
48	"Alba Tercedor,J.;Jimenez Millan,F."	"Larvas de efemeropteros de las estribaciones de Sierra Nevada. Factores que intervienen en su distribucion."	1978	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Ephemeroptera [Distribution within habitat / / environmental factors & habitat substrate effects;larva] [River / / Distribution] [Habitat substrate / / Distribution within river habitat effects] [Chemical factors / / ] [External pH / / ] [Light / / ] [Water / / Current] [Spain / / Sierra Nevada;Distribution within river habitat;influencing factors]."
49	"Pascual,F."	"Preliminary Study of Orthoptera of the Sierra-Nevada Spain 4. Altitude Distribution"	1978	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
