"Periodical.Full" "count"
"Plant Ecology" 2
"Plos One" 2
"Proceedings of the Royal Society B-Biological Sciences" 2
"Quaternary International" 2
"Shilap-Revista De Lepidopterologia" 2
"Systematic and applied microbiology" 2
"Terra Nova" 2
"Advanced Software and Control for Astronomy" 2
"American Naturalist" 2
"Annales De Limnologie-International Journal of Limnology" 2
"Annals of Botany" 2
"Astronomy & Astrophysics Supplement Series" 2
"Botanical Journal of the Linnean Society" 2
"Bryologist" 2
"Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule A-Sciences De La Terre Et Des Planetes" 2
"Contributions to Mineralogy and Petrology" 2
"Cryptogamie Algologie" 2
"Folia Zoologica" 2
"Heredity" 2
"International journal of biometeorology" 2
"Journal of Bryology" 2
"Journal of Geodynamics" 2
"Mammalia" 2
"Mineralogical Magazine" 2
"Mycotaxon" 2
"Phycologia" 2
"Sociobiology" 2
"Bulletin Soc Ent France" 2
"Cercle des Lepidopteristes de Belgique Bulletin" 2
"Cuadernos Cienc biol" 2
"Eos-Revista Espanola de Entomologia" 2
"Materiaux Orthopteriques et Entomocenotiques" 2
"Nachrichten des Entomologischen Vereins Apollo" 2
"Nos Oiseaux" 2
"Russian Journal of Nematology" 2
"Series Entomologica (Dordrecht)" 2
"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie" 2
"Aves" 1
"Boletin de la Sociedad Botanica de Mexico" 1
"Endangered Species Research" 1
"Environmental Science and Engineering" 1
"Environmentalist" 1
"Flora Mediterranea" 1
"Graellsia" 1
"Herpetological Review" 1
"Systematic and Applied Acarology" 1
"[Data of the sigmatist (Braun-Blanquet) phytosociology.Structure, management, use.]" 1
"Alauda" 1
"Alpine diversity in Europe" 1
"American Journal of Enology and Viticulture" 1
"Annals of Botany (London)" 1
"Archiv fuer Hydrobiologie" 1
"Archivos de Zootecnia" 1
"Beaufortia" 1
"Bibliotheca Mycologica; Arctic and alpine mycology 3-4" 1
"Boletim da Sociedade Broteriana" 1
"Bulletin de la Societe Botanique de France" 1
"Dokulil, M., H.Metz and D.Jewson (Ed.).Developments in Hydrobiology, Vol.3.Shallow Lakes: Contributions to their Limnology; Meeting, Illmitz, Austria, Sept.23-30, 1979.Xii+212p.W.Junk Bv Publishers: the Hague, Netherlands; Boston, Mass, Usa.Illus" 1
"Entomologiste (Paris)" 1
"Fragmenta Entomologica" 1
"Giornale Italiano di Entomologia" 1
"International Journal of Mycology and Lichenology" 1
"Journal of Photochemistry and Photobiology B Biology" 1
"Lindbergia" 1
"Madrono" 1
"Malakologische Abhandlungen (Dresden)" 1
"Memorias da Sociedade Broteriana" 1
"Miscellania Zoologica (Barcelona)" 1
"Museo Regionale di Scienze Naturali Bollettino (Turin)" 1
"Myotis" 1
"Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I" 1
"ORSIS Organismes i Sistemes" 1
"Polish Journal of Ecology" 1
"Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen Series C Biological and Medical Sciences" 1
"Redia" 1
"Reichenbachia" 1
"Revista de Biologia (Lisbon)" 1
"Revue Suisse de Zoologie" 1
"Sendtnera" 1
"Spixiana" 1
"Steenstrupia" 1
"Webbia" 1
"Bollettino chimico farmaceutico" 1
"Experimental hematology" 1
"IMA fungus" 1
"International microbiology : the official journal of the Spanish Society for Microbiology" 1
"The Science of the total environment" 1
"2012 Ieee International Geoscience and Remote Sensing Symposium (Igarss)" 1
"2013 Ises Solar World Congress" 1
"Acta Entomologica Musei Nationalis Pragae" 1
"Acta Physiologiae Plantarum" 1
"Advanced Software and Control for Astronomy Ii, Pts 1 & 2" 1
"Agricultural and Forest Entomology" 1
"Agronomy for Sustainable Development" 1
"Ambio" 1
"Animal Behaviour" 1
"Annals of Geophysics" 1
"Applied Geochemistry" 1
"Applied Geography" 1
"Aquatic Conservation-Marine and Freshwater Ecosystems" 1
"Auk" 1
"Behavioral Ecology" 1
"Biogeosciences" 1
"Biological Journal of the Linnean Society" 1
"Biology Bulletin" 1
"Bulletin of Engineering Geology and the Environment" 1
"Caldasia" 1
"Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere" 1
"Canadian journal of zoology" 1
"Centeris 2014 - Conference on Enterprise Information Systems / Projman 2014 - International Conference on Project Management / Hcist 2014 - International Conference on Health and Social Care Information Systems and Technologies" 1
"Clinical Microbiology and Infection" 1
"Comparative Biochemistry and Physiology A-Molecular & Integrative Physiology" 1
"Computers & Geosciences" 1
"Conservation Genetics Resources" 1
"Cryoletters" 1
"Diasporas Grecques Du Viiie a La Fin Du Iiie Siecle Av J-C" 1
"Earth and Planetary Science Letters" 1
"Ecological Economics" 1
"Ecological Engineering" 1
"Ecological Indicators" 1
"Ecosphere" 1
"Ecosystem Services" 1
"Ecotoxicology" 1
"Energy Conversion and Management" 1
"Environmental & Engineering Geoscience" 1
"Environmental Earth Sciences" 1
"Environmental Engineering and Management Journal" 1
"Environmental Modelling & Software" 1
"Estudios Geologicos-Madrid" 1
"European Journal of Mineralogy" 1
"European Journal of Wildlife Research" 1
"Evolutionary Biology" 1
"Experimental Astronomy" 1
"Extreme Hydrological Events" 1
"Flora" 1
"Freshwater Science" 1
"Functional Ecology" 1
"Gamma-Ray Bursts: 15 Years of Grb Afterglows - Progenitors, Environments and Host Galaxies from the Nearby to the Early Universe" 1
"Geochemical Journal" 1
"Global and Planetary Change" 1
"Global Heritage Stone: Towards International Recognition of Building and Ornamental Stones" 1
"Houille Blanche-Revue Internationale De L Eau" 1
"Hydrogeology Journal" 1
"Hydrological Sciences Journal-Journal Des Sciences Hydrologiques" 1
"Hydrology and Earth System Sciences" 1
"Ice-Marginal and Periglacial Processes and Sediments" 1
"International Association of Theoretical and Applied Limnology, Vol 30, Pt 4, Proceedings" 1
"International Association of Theoretical and Applied Limnology, Vol 30, Pt 6, Proceedings" 1
"International Journal of Applied Earth Observation and Geoinformation" 1
"International Journal of Environmental Science and Technology" 1
"International Journal of Remote Sensing" 1
"Italian Journal of Geosciences" 1
"Journal for Nature Conservation" 1
"Journal of Arachnology" 1
"Journal of Asian Earth Sciences" 1
"Journal of Biogeography" 1
"Journal of Ethnobiology" 1
"Journal of Evolutionary Biology" 1
"Journal of Geophysical Research-Biogeosciences" 1
"Journal of Hydrometeorology" 1
"Journal of Insect Conservation" 1
"Journal of Mediterranean Studies" 1
"Journal of Paleolimnology" 1
"Journal of Petrology" 1
"Journal of Raptor Research" 1
"Journal of Wildlife Management" 1
"Landscape and Urban Planning" 1
"Landscape Ecology" 1
"Landslides" 1
"Lethaia" 1
"Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy Vi" 1
"Mitochondrial Dna" 1
"Nature" 1
"Palaeontology" 1
"Perspectives in Plant Ecology Evolution and Systematics" 1
"Phytochemistry" 1
"Phytotaxa" 1
"Plant Ecology & Diversity" 1
"Proceedings of the Isprs Commission V Mid-Term Symposium Close Range Image Measurement Techniques" 1
"Proceedings of the Second Helas International Conference: Helioseismology, Asteroseismology and Mhd Connections" 1
"Proceedings of the Solarpaces 2013 International Conference" 1
"Radio Science" 1
"Remote Sensing and Gis for Hydrology and Water Resources" 1
"Remote Sensing for Agriculture, Ecosystems, and Hydrology Xiii" 1
"Remote Sensing for Agriculture, Ecosystems, and Hydrology Xiv" 1
"Remote Sensing for Agriculture, Ecosystems, and Hydrology Xv" 1
"Remote Sensing of Environment" 1
"Renewable Energy" 1
"Silva Fennica" 1
"Soil Science" 1
"Solid Earth" 1
"Star Clusters in the Era of Large Surveys: Proceedings of Symposium 5 of Jenam 2010" 1
"Systematic parasitology" 1
"Talanta" 1
"Taxon" 1
"Tree Genetics & Genomes" 1
"Veterinary microbiology" 1
"Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften" 1
"Zeitschrift Fur Geomorphologie" 1
"Zookeys" 1
"Zoologischer Anzeiger" 1
"Acta Geodynamica Et Geomaterialia" 1
"Acta Ornithologica" 1
"Acta Physica Polonica B" 1
"Acta Zoologica Academiae Scientiarum Hungaricae" 1
"Acta Zoologica Hungarica" 1
"Advanced Global Communications Technologies for Astronomy" 1
"Annales De Geographie" 1
"Annales des Sciences Forestieres" 1
"Aquatic Microbial Ecology" 1
"Basin Research" 1
"Behavioral Ecology and Sociobiology" 1
"Berichte Der Deutschen Botanischen Gesellschaft" 1
"Biochemical systematics and ecology" 1
"Biogeochemistry" 1
"Biology and Fertility of Soils" 1
"Bird Study" 1
"Brimleyana" 1
"Bulletin De La Societe Botanique De France" 1
"Cadernos do Laboratorio Xeoloxico De Laxe 21" 1
"Canadian Journal of Botany-Revue Canadienne De Botanique" 1
"Canadian Journal of Physics" 1
"Canadian Journal of Soil Science" 1
"Canadian Journal of Zoology-Revue Canadienne De Zoologie" 1
"Chemoecology" 1
"Chinese Journal of Astronomy and Astrophysics" 1
"Chromatographia" 1
"Chromosoma" 1
"Communications of the German Society for General and Applied Entomonology, Vol 9 no 4-6, September 1995" 1
"Comptes Rendus De L Academie Des Sciences Serie Ii" 1
"Contributions to Zoology" 1
"Diatom Research" 1
"Diversity and Distributions" 1
"Ecography" 1
"Ecological Monographs" 1
"Environmental Entomology" 1
"Environmental Geochemistry and Health" 1
"Environmental Geology" 1
"Ethology" 1
"Ethology Ecology & Evolution" 1
"Folia Geobotanica & Phytotaxonomica" 1
"Folia microbiologica" 1
"Genetica" 1
"Geobios" 1
"Geochimica et Cosmochimica Acta" 1
"Geodinamica Acta" 1
"Geologie en Mijnbouw" 1
"Geologische Rundschau" 1
"Geology" 1
"Global Ecology and Biogeography Letters" 1
"Gneiss Domes in Orogeny" 1
"Hereditas" 1
"Human Impact on Erosion and Sedimentation" 1
"IEEE Transactions on Geoscience and Remote Sensing" 1
"Insectes Sociaux" 1
"International Association of Theoretical and Applied Limnology, Proceedings, Vol 27, Pt 4" 1
"International Association of Theoretical and Applied Limnology, Vol 26, Pt 4" 1
"International Association of Theoretical and Applied Limnology, Vol 27, Pt 1, Proceedings" 1
"Journal Fur Ornithologie" 1
"Journal of Applied Entomology-Zeitschrift Fur Angewandte Entomologie" 1
"Journal of Chromatography a" 1
"Journal of Conchology" 1
"Journal of Geophysical Research-Earth Surface" 1
"Journal of Herpetology" 1
"Journal of insect physiology" 1
"Journal of mammalogy" 1
"Journal of Nematology" 1
"Journal of Ornithology" 1
"Journal of Photochemistry and Photobiology B-Biology" 1
"Journal of Phycology" 1
"Journal of Quaternary Science" 1
"Journal of Sedimentary Research" 1
"Journal of Veterinary Diagnostic Investigation" 1
"Journal of Volcanology and Geothermal Research" 1
"Journal of Zoological Systematics and Evolutionary Research" 1
"Land Degradation & Development" 1
"Land Degradation and Rehabilitation" 1
"Lidar Technologies, Techniques, and Measurements for Atmospheric Remote Sensing Iii" 1
"Mammalian Biology" 1
"Meteorological Applications" 1
"Mountain Research and Development" 1
"Naturwissenschaften" 1
"Neues Jahrbuch Fur Mineralogie-Abhandlungen" 1
"Neues Jahrbuch Fur Mineralogie-Monatshefte" 1
"New Phytologist" 1
"New Zealand Journal of Marine and Freshwater Research" 1
"Norsk Geologisk Tidsskrift" 1
"Ornis Scandinavica" 1
"Palaeozoic Reefs and Bioaccumulations: Climatic and Evolutionary Controls" 1
"Paleoenvironmental Record and Applications of Calcretes and Palustrine Carbonates" 1
"Parasite-Journal De La Societe Francaise De Parasitologie" 1
"Planetary and Space Science" 1
"Planetary Nebulae as Astronomical Tools" 1
"Plant and Soil" 1
"Plant Systematics and Evolution" 1
"Proceedings of the IEEE" 1
"Regulated Rivers-Research & Management" 1
"Reproduction Nutrition Development" 1
"Review of Scientific Instruments" 1
"Revista Mexicana De Astronomia Y Astrofisica" 1
"Revue D Ecologie-La Terre Et La Vie" 1
"Schweizerische Mineralogische Und Petrographische Mitteilungen" 1
"Sedimentary Provenance and Petrogenesis: Perspectives from Petrography and Geochemistry" 1
"Soil Science Society of America Journal" 1
"Soil Use and Management" 1
"Studia Geophysica Et Geodaetica" 1
"Transactions-American Geophysical Union" 1
"Water Air and Soil Pollution" 1
"Wildlife Society Bulletin" 1
"Wilson Bulletin" 1
"Zoologichesky Zhurnal" 1
"Acta Biologica Benrodis" 1
"Acta Biologica Debrecina Supplementum Oecologica Hungarica" 1
"Afro-Asian Journal of Nematology" 1
"Alytes (Merida)" 1
"Articulata" 1
"Atualidades Ornitologicas" 1
"Boletin de la Asociacion Herpetologica Espanola" 1
"Braueria" 1
"Bull.Soc.ent.Mulhouse" 1
"Bulletin de la Societe Royale des Sciences de Liege" 1
"Bulletin of the Amateur Entomologists' Society" 1
"Butlleti de la Societat Catalana de Lepidopterologia" 1
"Cuadernos De Ciencias Biologicas Universidad De Granada" 1
"Cuadernos de Geologia Iberica" 1
"Developments in Hydrobiology" 1
"Ecologia (Madrid)" 1
"Ecological Studies" 1
"Ecosistemas" 1
"Entomological Science" 1
"Entomologische Zeitschrift" 1
"Entomologiste" 1
"Esperiana" 1
"Fliegen palaearkt Reg (D)" 1
"Journal of Wildlife Research" 1
"Koleopterologische Rundschau" 1
"Memorie dell'Istituto Italiano di Idrobiologia Dott Marco de Marchi" 1
"Microlepidoptera of Europe" 1
"Micromamiferos y Bioestratigrafia" 1
"Myriapod Memoranda" 1
"Nachrichtenblatt bayer Ent" 1
"Nachrichtenblatt der Bayerischen Entomologen" 1
"Notes Fauniques de Gembloux" 1
"Occasional Papers of the IUCN Species Survival Commission" 1
"Oekologie der Voegel" 1
"PLoS ONE" 1
"Revista Catalana d'Ornitologia" 1
"Revista Iber Parasit" 1
"Saugetierkundliche Mitteilungen" 1
"Series Ent" 1
"Snudebiller" 1
"Spixiana Supplement" 1
"Trav Lab Piscic Univ Grenoble" 1
"Universidad Autonoma de Madrid Coleccion de Estudios" 1
"Ziva" 1
