"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"FOLIA MICROBIOLOGICA";"0015-5632";"FOLIA MICROBIOL";1407;1;1.009;0.23;74;"9.1";0.0018;0.255;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"GENETICA";"0016-6707";"GENETICA";3292;1.4;2.082;0.173;52;"9.9";0.00499;0.661;"GENETICS & HEREDITY"
"GEOBIOS";"0016-6995";"GEOBIOS-LYON";1601;1.243;1.337;0.133;30;">10.0";0.00186;0.464;"PALEONTOLOGY"
"GEOCHEMICAL JOURNAL";"0016-7002";"GEOCHEM J";1512;1.505;1.484;0.286;49;">10.0";0.00222;0.55;"GEOCHEMISTRY & GEOPHYSICS"
"GEOCHIMICA ET COSMOCHIMICA ACTA";"0016-7037";"GEOCHIM COSMOCHIM AC";52474;4.331;4.933;1.121;539;">10.0";0.06742;1.818;"GEOCHEMISTRY & GEOPHYSICS"
"GEODERMA";"0016-7061";"GEODERMA";13731;2.772;3.524;0.651;370;"8.1";0.01988;0.932;"SOIL SCIENCE"
"JOURNAL OF THE GEOLOGICAL SOCIETY";"0016-7649";"J GEOL SOC LONDON";7222;2.639;3.235;0.551;69;">10.0";0.00803;1.198;"GEOSCIENCES, MULTIDISCIPLINARY"
"GEOLOGIE EN MIJNBOUW";"0016-7746";"NETH J GEOSCI";304;1.197;1.071;0.333;12;"7.1";0.00066;0.367;"GEOSCIENCES, MULTIDISCIPLINARY"
"GEOLOGISCHE RUNDSCHAU";"0016-7835";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HEREDITAS";"0018-0661";"HEREDITAS";1549;1.118;0.914;0.111;27;">10.0";0.00048;0.263;"GENETICS & HEREDITY"
"HEREDITY";"0018-067X";"HEREDITY";9440;3.805;4.163;1.252;131;">10.0";0.01505;1.503;"GENETICS & HEREDITY"
"HEREDITY";"0018-067X";"HEREDITY";9440;3.805;4.163;1.252;131;">10.0";0.01505;1.503;"EVOLUTIONARY BIOLOGY"
"HEREDITY";"0018-067X";"HEREDITY";9440;3.805;4.163;1.252;131;">10.0";0.01505;1.503;"ECOLOGY"
"Herpetological Review";"0018-084X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU";"0018-6368";"HOUILLE BLANCHE";354;0.287;0.238;0.167;66;">10.0";0.00045;0.088;"WATER RESOURCES"
"HYDROBIOLOGIA";"0018-8158";"HYDROBIOLOGIA";21044;2.275;2.321;0.476;351;">10.0";0.02124;0.686;"MARINE & FRESHWATER BIOLOGY"
"PROCEEDINGS OF THE IEEE";"0018-9219";"P IEEE";21017;4.934;7.75;1.02;102;">10.0";0.04188;3.589;"ENGINEERING, ELECTRICAL & ELECTRONIC"
"IBIS";"0019-1019";"IBIS";4444;1.921;2.217;0.429;84;">10.0";0.00444;0.715;"ORNITHOLOGY"
"INSECTES SOCIAUX";"0020-1812";"INSECT SOC";2374;1.022;1.31;0.378;45;">10.0";0.00215;0.425;"ENTOMOLOGY"
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY";"0020-7128";"INT J BIOMETEOROL";3134;3.246;3.074;0.349;192;"7.4";0.005;0.804;"PHYSIOLOGY"
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY";"0020-7128";"INT J BIOMETEOROL";3134;3.246;3.074;0.349;192;"7.4";0.005;0.804;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY";"0020-7128";"INT J BIOMETEOROL";3134;3.246;3.074;0.349;192;"7.4";0.005;0.804;"ENVIRONMENTAL SCIENCES"
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY";"0020-7128";"INT J BIOMETEOROL";3134;3.246;3.074;0.349;192;"7.4";0.005;0.804;"BIOPHYSICS"
"JOURNAL OF ORNITHOLOGY";"0021-8375";"J ORNITHOL";2260;1.711;1.76;0.416;113;"5.7";0.00588;0.58;"ORNITHOLOGY"
"Journal of Apicultural Research";"0021-8839";"J APICULT RES";1348;1.895;1.942;1.014;69;"7.5";0.00221;0.5;"ENTOMOLOGY"
"JOURNAL OF CHROMATOGRAPHY A";"0021-9673";"J CHROMATOGR A";63850;4.169;4.298;0.623;1141;"7.9";0.07324;0.848;"CHEMISTRY, ANALYTICAL"
"JOURNAL OF CHROMATOGRAPHY A";"0021-9673";"J CHROMATOGR A";63850;4.169;4.298;0.623;1141;"7.9";0.07324;0.848;"BIOCHEMICAL RESEARCH METHODS"
"JOURNAL OF CONCHOLOGY";"0022-0019";"J CONCHOL";277;0.523;0.542;0;8;">10.0";3e-04;0.159;"ZOOLOGY"
"JOURNAL OF CONCHOLOGY";"0022-0019";"J CONCHOL";277;0.523;0.542;0;8;">10.0";3e-04;0.159;"MARINE & FRESHWATER BIOLOGY"
"JOURNAL OF ECOLOGY";"0022-0477";"J ECOL";15745;5.521;6.314;1.179;151;">10.0";0.0274;2.427;"PLANT SCIENCES"
"JOURNAL OF ECOLOGY";"0022-0477";"J ECOL";15745;5.521;6.314;1.179;151;">10.0";0.0274;2.427;"ECOLOGY"
