"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"Graellsia";"0367-5041";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"INTERNATIONAL ASSOCIATION OF THEORETICAL AND APPLIED LIMNOLOGY, PROCEEDINGS, VOL 27, PT 4";"0368-0770";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Redia";"0370-4327";"REDIA";379;0.5;NA;0.077;26;">10.0";0.00025;NA;"ZOOLOGY"
"ZEITSCHRIFT FUR GEOMORPHOLOGIE";"0372-8854";"Z GEOMORPHOL";1150;0.734;0.882;0.408;49;">10.0";0.00114;0.256;"GEOSCIENCES, MULTIDISCIPLINARY"
"ZEITSCHRIFT FUR GEOMORPHOLOGIE";"0372-8854";"Z GEOMORPHOL";1150;0.734;0.882;0.408;49;">10.0";0.00114;0.256;"GEOGRAPHY, PHYSICAL"
"Candollea";"0373-2967";"CANDOLLEA";291;0.468;0.435;0.038;26;">10.0";0.00031;0.117;"PLANT SCIENCES"
"JOURNAL OF BRYOLOGY";"0373-6687";"J BRYOL";834;1.647;1.525;0.561;41;"8.5";0.00088;0.276;"PLANT SCIENCES"
"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE";"0374-1036";"ACTA ENT MUS NAT PRA";315;0.659;0.649;0.101;69;"5.2";0.00081;0.196;"ENTOMOLOGY"
"Memorie dell'Istituto Italiano di Idrobiologia Dott Marco de Marchi";"0374-9118";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nouvelle Revue d'Entomologie";"0374-9797";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Steenstrupia";"0375-2909";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Zeitschrift der Arbeitsgemeinschaft Oesterreichischer Entomologen";"0375-5223";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH";"0377-0273";"J VOLCANOL GEOTH RES";10361;2.543;2.7;0.822;219;"9.3";0.0172;1.038;"GEOSCIENCES, MULTIDISCIPLINARY"
"Cuadernos de Geologia Iberica";"0378-102X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FOREST ECOLOGY AND MANAGEMENT";"0378-1127";"FOREST ECOL MANAG";24682;2.66;3.153;0.723;545;"8.0";0.03778;0.88;"FORESTRY"
"VETERINARY MICROBIOLOGY";"0378-1135";"VET MICROBIOL";13232;2.511;2.87;0.557;409;"6.1";0.02761;0.797;"VETERINARY SCIENCES"
"VETERINARY MICROBIOLOGY";"0378-1135";"VET MICROBIOL";13232;2.511;2.87;0.557;409;"6.1";0.02761;0.797;"MICROBIOLOGY"
"PLANT SYSTEMATICS AND EVOLUTION";"0378-2697";"PLANT SYST EVOL";4347;1.422;1.545;0.337;193;">10.0";0.00503;0.422;"PLANT SCIENCES"
"PLANT SYSTEMATICS AND EVOLUTION";"0378-2697";"PLANT SYST EVOL";4347;1.422;1.545;0.337;193;">10.0";0.00503;0.422;"EVOLUTIONARY BIOLOGY"
"Giornale Italiano di Entomologia";"0392-7296";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Museo Regionale di Scienze Naturali Bollettino (Turin)";"0392-758X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ETHOLOGY ECOLOGY & EVOLUTION";"0394-9370";"ETHOL ECOL EVOL";706;1.103;1.013;0.92;25;">10.0";0.00088;0.347;"ZOOLOGY"
"ETHOLOGY ECOLOGY & EVOLUTION";"0394-9370";"ETHOL ECOL EVOL";706;1.103;1.013;0.92;25;">10.0";0.00088;0.347;"BEHAVIORAL SCIENCES"
"Fragmenta Entomologica";"0429-288X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY";"0435-3676";"GEOGR ANN A";1070;1.15;1.489;0.378;37;">10.0";0.00103;0.474;"GEOLOGY"
"GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY";"0435-3676";"GEOGR ANN A";1070;1.15;1.489;0.378;37;">10.0";0.00103;0.474;"GEOGRAPHY, PHYSICAL"
"Ardeola";"0570-7358";"ARDEOLA";358;0.571;0.779;0;28;">10.0";0.00053;0.243;"ORNITHOLOGY"
"Myotis";"0580-3896";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ACTA PHYSICA POLONICA B";"0587-4254";"ACTA PHYS POL B";1933;0.85;0.686;0.41;178;"7.4";0.00455;0.248;"PHYSICS, MULTIDISCIPLINARY"
"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES";"0706-652X";"CAN J FISH AQUAT SCI";16689;2.287;2.764;0.376;170;">10.0";0.01297;0.97;"MARINE & FRESHWATER BIOLOGY"
"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES";"0706-652X";"CAN J FISH AQUAT SCI";16689;2.287;2.764;0.376;170;">10.0";0.01297;0.97;"FISHERIES"
"SYSTEMATIC AND APPLIED MICROBIOLOGY";"0723-2020";"SYST APPL MICROBIOL";4236;3.283;3.32;0.581;74;">10.0";0.00541;0.948;"MICROBIOLOGY"
"SYSTEMATIC AND APPLIED MICROBIOLOGY";"0723-2020";"SYST APPL MICROBIOL";4236;3.283;3.32;0.581;74;">10.0";0.00541;0.948;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"International Journal of Mycology and Lichenology";"0723-3353";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nachrichten des Entomologischen Vereins Apollo";"0723-9912";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Notes Fauniques de Gembloux";"0770-2019";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cercle des Lepidopteristes de Belgique Bulletin";"0778-4686";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GENOME";"0831-2796";"GENOME";4591;1.424;1.669;0.263;57;">10.0";0.0036;0.469;"GENETICS & HEREDITY"
"GENOME";"0831-2796";"GENOME";4591;1.424;1.669;0.263;57;">10.0";0.0036;0.469;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"Russian Journal of Nematology";"0869-6918";"RUSS J NEMATOL";187;0.793;0.756;0.333;15;"8.2";0.00025;0.194;"ZOOLOGY"
"Boletim da Sociedade Portuguesa de Entomologia";"0870-7227";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"APPLIED GEOCHEMISTRY";"0883-2927";"APPL GEOCHEM";8883;2.268;2.4;0.483;209;"8.5";0.01357;0.747;"GEOCHEMISTRY & GEOPHYSICS"
"REGULATED RIVERS-RESEARCH & MANAGEMENT";"0886-9375";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY";"0887-3593";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CONSERVATION BIOLOGY";"0888-8892";"CONSERV BIOL";17614;4.165;5.199;0.935;168;">10.0";0.02386;2.073;"ENVIRONMENTAL SCIENCES"
"CONSERVATION BIOLOGY";"0888-8892";"CONSERV BIOL";17614;4.165;5.199;0.935;168;">10.0";0.02386;2.073;"ECOLOGY"
"CONSERVATION BIOLOGY";"0888-8892";"CONSERV BIOL";17614;4.165;5.199;0.935;168;">10.0";0.02386;2.073;"BIODIVERSITY CONSERVATION"
"JOURNAL OF RAPTOR RESEARCH";"0892-1016";"J RAPTOR RES";696;0.631;0.848;0.575;40;">10.0";0.00079;0.235;"ORNITHOLOGY"
"LAND DEGRADATION AND REHABILITATION";"0898-5812";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ECOGRAPHY";"0906-7590";"ECOGRAPHY";7852;4.774;5.565;1.108;130;"6.9";0.01907;2.042;"ECOLOGY"
"ECOGRAPHY";"0906-7590";"ECOGRAPHY";7852;4.774;5.565;1.108;130;"6.9";0.01907;2.042;"BIODIVERSITY CONSERVATION"
"JOURNAL OF PALEOLIMNOLOGY";"0921-2728";"J PALEOLIMNOL";3316;2.12;2.333;0.313;67;"9.1";0.00538;0.711;"LIMNOLOGY"
"JOURNAL OF PALEOLIMNOLOGY";"0921-2728";"J PALEOLIMNOL";3316;2.12;2.333;0.313;67;"9.1";0.00538;0.711;"GEOSCIENCES, MULTIDISCIPLINARY"
"JOURNAL OF PALEOLIMNOLOGY";"0921-2728";"J PALEOLIMNOL";3316;2.12;2.333;0.313;67;"9.1";0.00538;0.711;"ENVIRONMENTAL SCIENCES"
"LANDSCAPE ECOLOGY";"0921-2973";"LANDSCAPE ECOL";6054;3.5;3.861;0.588;131;"7.6";0.0108;1.213;"GEOSCIENCES, MULTIDISCIPLINARY"
"LANDSCAPE ECOLOGY";"0921-2973";"LANDSCAPE ECOL";6054;3.5;3.861;0.588;131;"7.6";0.0108;1.213;"GEOGRAPHY, PHYSICAL"
"LANDSCAPE ECOLOGY";"0921-2973";"LANDSCAPE ECOL";6054;3.5;3.861;0.588;131;"7.6";0.0108;1.213;"ECOLOGY"
"ECOLOGICAL ECONOMICS";"0921-8009";"ECOL ECON";12802;2.72;3.929;0.339;239;"7.1";0.02573;1.296;"ENVIRONMENTAL SCIENCES"
"ECOLOGICAL ECONOMICS";"0921-8009";"ECOL ECON";12802;2.72;3.929;0.339;239;"7.1";0.02573;1.296;"ECOLOGY"
"GLOBAL AND PLANETARY CHANGE";"0921-8181";"GLOBAL PLANET CHANGE";6348;2.766;3.612;0.571;147;"7.0";0.0142;1.395;"GEOSCIENCES, MULTIDISCIPLINARY"
"GLOBAL AND PLANETARY CHANGE";"0921-8181";"GLOBAL PLANET CHANGE";6348;2.766;3.612;0.571;147;"7.0";0.0142;1.395;"GEOGRAPHY, PHYSICAL"
"EXPERIMENTAL ASTRONOMY";"0922-6435";"EXP ASTRON";568;1.99;1.52;0.391;46;"3.6";0.00295;0.737;"ASTRONOMY & ASTROPHYSICS"
"Series Entomologica (Dordrecht)";"0924-4603";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ECOLOGICAL ENGINEERING";"0925-8574";"ECOL ENG";7675;2.58;3.231;0.51;478;"5.0";0.0161;0.742;"ENVIRONMENTAL SCIENCES"
"ECOLOGICAL ENGINEERING";"0925-8574";"ECOL ENG";7675;2.58;3.231;0.51;478;"5.0";0.0161;0.742;"ENGINEERING, ENVIRONMENTAL"
"ECOLOGICAL ENGINEERING";"0925-8574";"ECOL ENG";7675;2.58;3.231;0.51;478;"5.0";0.0161;0.742;"ECOLOGY"
"GENETIC RESOURCES AND CROP EVOLUTION";"0925-9864";"GENET RESOUR CROP EV";2756;1.461;1.603;0.339;121;"7.3";0.004;0.383;"PLANT SCIENCES"
"GENETIC RESOURCES AND CROP EVOLUTION";"0925-9864";"GENET RESOUR CROP EV";2756;1.461;1.603;0.339;121;"7.3";0.004;0.383;"AGRONOMY"
"REPRODUCTION NUTRITION DEVELOPMENT";"0926-5287";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"INDUSTRIAL CROPS AND PRODUCTS";"0926-6690";"IND CROP PROD";8308;2.837;3.019;0.462;572;"3.6";0.01752;0.614;"AGRONOMY"
"INDUSTRIAL CROPS AND PRODUCTS";"0926-6690";"INDUSTRIAL CROPS AND PRODUCTS";NA;NA;NA;NA;NA;NA;NA;NA;"AGRICULTURAL ENGINEERING"
"JOURNAL OF APPLIED ENTOMOLOGY-ZEITSCHRIFT FUR ANGEWANDTE ENTOMOLOGIE";"0931-2048";"J APPL ENTOMOL";2554;1.65;1.726;0.195;87;"9.0";0.00362;0.491;"ENTOMOLOGY"
"PARASITOLOGY RESEARCH";"0932-0113";"PARASITOL RES";10275;2.098;2.251;0.452;527;"5.5";0.01714;0.453;"PARASITOLOGY"
"EUROPEAN JOURNAL OF MINERALOGY";"0935-1221";"EUR J MINERAL";2867;1.483;1.513;0.286;63;">10.0";0.00375;0.548;"MINERALOGY"
"CHEMOECOLOGY";"0937-7409";"CHEMOECOLOGY";836;1.923;1.752;0.346;26;"9.4";0.00123;0.58;"ECOLOGY"
"CHEMOECOLOGY";"0937-7409";"CHEMOECOLOGY";836;1.923;1.752;0.346;26;"9.4";0.00123;0.58;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"ENVIRONMENTAL GEOLOGY";"0943-0105";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sendtnera";"0944-0178";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH";"0947-5745";"J ZOOL SYST EVOL RES";912;1.677;1.683;0.559;34;"7.5";0.00205;0.639;"ZOOLOGY"
"JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH";"0947-5745";"J ZOOL SYST EVOL RES";912;1.677;1.683;0.559;34;"7.5";0.00205;0.639;"EVOLUTIONARY BIOLOGY"
"AQUATIC MICROBIAL ECOLOGY";"0948-3055";"AQUAT MICROB ECOL";4250;1.967;2.508;0.388;49;"9.8";0.00566;0.855;"MICROBIOLOGY"
"AQUATIC MICROBIAL ECOLOGY";"0948-3055";"AQUAT MICROB ECOL";4250;1.967;2.508;0.388;49;"9.8";0.00566;0.855;"MARINE & FRESHWATER BIOLOGY"
"AQUATIC MICROBIAL ECOLOGY";"0948-3055";"AQUAT MICROB ECOL";4250;1.967;2.508;0.388;49;"9.8";0.00566;0.855;"ECOLOGY"
"Esperiana";"0949-4529";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BASIN RESEARCH";"0950-091X";"BASIN RES";1916;2.732;2.803;1;34;"9.3";0.0038;1.18;"GEOSCIENCES, MULTIDISCIPLINARY"
"JOURNAL OF ZOOLOGY";"0952-8369";"J ZOOL";7571;1.883;2.078;0.612;98;">10.0";0.00617;0.724;"ZOOLOGY"
"TERRA NOVA";"0954-4879";"TERRA NOVA";3075;2.639;2.856;0.61;59;">10.0";0.0051;1.104;"GEOSCIENCES, MULTIDISCIPLINARY"
"HOLOCENE";"0959-6836";"HOLOCENE";5387;2.283;3.122;0.541;157;"8.2";0.00963;1.018;"GEOSCIENCES, MULTIDISCIPLINARY"
"HOLOCENE";"0959-6836";"HOLOCENE";5387;2.283;3.122;0.541;157;"8.2";0.00963;1.018;"GEOGRAPHY, PHYSICAL"
"RENEWABLE ENERGY";"0960-1481";"RENEW ENERG";16421;3.476;3.982;0.954;675;"5.0";0.0329;0.884;"ENERGY & FUELS"
"BIODIVERSITY AND CONSERVATION";"0960-3115";"BIODIVERS CONSERV";8334;2.365;2.676;0.537;201;"7.6";0.01562;0.902;"ENVIRONMENTAL SCIENCES"
"BIODIVERSITY AND CONSERVATION";"0960-3115";"BIODIVERS CONSERV";8334;2.365;2.676;0.537;201;"7.6";0.01562;0.902;"ECOLOGY"
"BIODIVERSITY AND CONSERVATION";"0960-3115";"BIODIVERS CONSERV";8334;2.365;2.676;0.537;201;"7.6";0.01562;0.902;"BIODIVERSITY CONSERVATION"
"GLOBAL ECOLOGY AND BIOGEOGRAPHY";"0960-7447";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MOLECULAR ECOLOGY";"0962-1083";"MOL ECOL";32977;6.494;6.33;1.325;419;"7.2";0.06501;2.075;"EVOLUTIONARY BIOLOGY"
"MOLECULAR ECOLOGY";"0962-1083";"MOL ECOL";32977;6.494;6.33;1.325;419;"7.2";0.06501;2.075;"ECOLOGY"
"MOLECULAR ECOLOGY";"0962-1083";"MOL ECOL";32977;6.494;6.33;1.325;419;"7.2";0.06501;2.075;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES";"0962-8452";"P ROY SOC B-BIOL SCI";41341;5.051;5.648;0.95;625;"8.5";0.09439;2.292;"EVOLUTIONARY BIOLOGY"
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES";"0962-8452";"P ROY SOC B-BIOL SCI";41341;5.051;5.648;0.95;625;"8.5";0.09439;2.292;"ECOLOGY"
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES";"0962-8452";"P ROY SOC B-BIOL SCI";41341;5.051;5.648;0.95;625;"8.5";0.09439;2.292;"BIOLOGY"
"Afro-Asian Journal of Nematology";"0963-6420";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ECOTOXICOLOGY";"0963-9292";"ECOTOXICOLOGY";4444;2.706;2.943;0.241;203;"4.9";0.0094;0.69;"TOXICOLOGY"
"ECOTOXICOLOGY";"0963-9292";"ECOTOXICOLOGY";4444;2.706;2.943;0.241;203;"4.9";0.0094;0.69;"ENVIRONMENTAL SCIENCES"
"ECOTOXICOLOGY";"0963-9292";"ECOTOXICOLOGY";4444;2.706;2.943;0.241;203;"4.9";0.0094;0.69;"ECOLOGY"
"GEODINAMICA ACTA";"0985-3111";"GEODIN ACTA";595;0.188;0.818;NA;0;">10.0";0.00037;0.303;"GEOSCIENCES, MULTIDISCIPLINARY"
"Genetics Selection Evolution (Paris)";"0999-193X";"GENET SEL EVOL";1928;3.821;4.404;0.574;68;"5.8";0.00413;1.166;"GENETICS & HEREDITY"
"Genetics Selection Evolution (Paris)";"0999-193X";"GENET SEL EVOL";1928;3.821;4.404;0.574;68;"5.8";0.00413;1.166;"AGRICULTURE DAIRY & ANIMAL SCIENCE"
"CHINESE JOURNAL OF ASTRONOMY AND ASTROPHYSICS";"1009-9271";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF EVOLUTIONARY BIOLOGY";"1010-061X";"J EVOLUTION BIOL";9956;3.232;3.538;0.635;260;"6.5";0.0276;1.38;"GENETICS & HEREDITY"
"JOURNAL OF EVOLUTIONARY BIOLOGY";"1010-061X";"J EVOLUTION BIOL";9956;3.232;3.538;0.635;260;"6.5";0.0276;1.38;"EVOLUTIONARY BIOLOGY"
"JOURNAL OF EVOLUTIONARY BIOLOGY";"1010-061X";"J EVOLUTION BIOL";9956;3.232;3.538;0.635;260;"6.5";0.0276;1.38;"ECOLOGY"
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY";"1011-1344";"J PHOTOCH PHOTOBIO B";6204;2.96;3.133;0.476;271;"8.7";0.00803;0.687;"BIOPHYSICS"
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY";"1011-1344";"J PHOTOCH PHOTOBIO B";6204;2.96;3.133;0.476;271;"8.7";0.00803;0.687;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"AQUATIC SCIENCES";"1015-1621";"AQUAT SCI";2036;2.706;3.288;0.426;54;"8.2";0.00387;1.046;"MARINE & FRESHWATER BIOLOGY"
"AQUATIC SCIENCES";"1015-1621";"AQUAT SCI";2036;2.706;3.288;0.426;54;"8.2";0.00387;1.046;"LIMNOLOGY"
"AQUATIC SCIENCES";"1015-1621";"AQUAT SCI";2036;2.706;3.288;0.426;54;"8.2";0.00387;1.046;"ENVIRONMENTAL SCIENCES"
"JOURNAL OF MEDITERRANEAN STUDIES";"1016-3476";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Braueria";"1026-3632";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Occasional Papers of the IUCN Species Survival Commission";"1026-4965";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HYDROLOGY AND EARTH SYSTEM SCIENCES";"1027-5606";"HYDROL EARTH SYST SC";8855;3.535;4.292;0.786;332;"4.4";0.02845;1.394;"WATER RESOURCES"
"HYDROLOGY AND EARTH SYSTEM SCIENCES";"1027-5606";"HYDROL EARTH SYST SC";8855;3.535;4.292;0.786;332;"4.4";0.02845;1.394;"GEOSCIENCES, MULTIDISCIPLINARY"
"QUATERNARY INTERNATIONAL";"1040-6182";"QUATERN INT";8690;2.062;2.481;0.957;580;"4.7";0.02134;0.711;"GEOSCIENCES, MULTIDISCIPLINARY"
"QUATERNARY INTERNATIONAL";"1040-6182";"QUATERN INT";8690;2.062;2.481;0.957;580;"4.7";0.02134;0.711;"GEOGRAPHY, PHYSICAL"
"JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION";"1040-6387";"J VET DIAGN INVEST";3530;1.353;1.377;0.126;127;"8.5";0.00585;0.419;"VETERINARY SCIENCES"
"JOURNAL OF ZOO AND WILDLIFE MEDICINE";"1042-7260";"J ZOO WILDLIFE MED";1447;0.424;0.577;0.024;164;">10.0";0.00187;0.163;"VETERINARY SCIENCES"
"BEHAVIORAL ECOLOGY";"1045-2249";"BEHAV ECOL";8176;3.177;3.35;0.989;174;"7.9";0.01672;1.204;"ZOOLOGY"
"BEHAVIORAL ECOLOGY";"1045-2249";"BEHAV ECOL";8176;3.177;3.35;0.989;174;"7.9";0.01672;1.204;"ECOLOGY"
"BEHAVIORAL ECOLOGY";"1045-2249";"BEHAV ECOL";8176;3.177;3.35;0.989;174;"7.9";0.01672;1.204;"BEHAVIORAL SCIENCES"
"PERMAFROST AND PERIGLACIAL PROCESSES";"1045-6740";"PERMAFROST PERIGLAC";1413;2.119;3.146;0.194;31;"8.6";0.00266;1.108;"GEOLOGY"
"PERMAFROST AND PERIGLACIAL PROCESSES";"1045-6740";"PERMAFROST PERIGLAC";1413;2.119;3.146;0.194;31;"8.6";0.00266;1.108;"GEOGRAPHY, PHYSICAL"
"ECOLOGICAL APPLICATIONS";"1051-0761";"ECOL APPL";18027;4.093;5.508;0.711;159;"9.5";0.03026;2.058;"ENVIRONMENTAL SCIENCES"
"ECOLOGICAL APPLICATIONS";"1051-0761";"ECOL APPL";18027;4.093;5.508;0.711;159;"9.5";0.03026;2.058;"ECOLOGY"
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS";"1052-7613";"AQUAT CONSERV";2369;2.136;2.27;0.465;86;"6.9";0.00418;0.696;"WATER RESOURCES"
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS";"1052-7613";"AQUAT CONSERV";2369;2.136;2.27;0.465;86;"6.9";0.00418;0.696;"MARINE & FRESHWATER BIOLOGY"
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS";"1052-7613";"AQUAT CONSERV";2369;2.136;2.27;0.465;86;"6.9";0.00418;0.696;"ENVIRONMENTAL SCIENCES"
"RESTORATION ECOLOGY";"1061-2971";"RESTOR ECOL";3766;1.838;2.248;0.618;102;"8.1";0.00636;0.704;"ECOLOGY"
"BIOLOGY BULLETIN";"1062-3590";"BIOL BULL+";331;0.251;0.272;0.037;107;"6.5";0.00071;0.082;"BIOLOGY"
"ENVIRONMENTAL & ENGINEERING GEOSCIENCE";"1078-7275";"ENVIRON ENG GEOSCI";343;0.977;0.824;0.167;24;">10.0";6e-04;0.32;"GEOSCIENCES, MULTIDISCIPLINARY"
"ENVIRONMENTAL & ENGINEERING GEOSCIENCE";"1078-7275";"ENVIRON ENG GEOSCI";343;0.977;0.824;0.167;24;">10.0";6e-04;0.32;"ENGINEERING, GEOLOGICAL"
"ENVIRONMENTAL & ENGINEERING GEOSCIENCE";"1078-7275";"ENVIRON ENG GEOSCI";343;0.977;0.824;0.167;24;">10.0";6e-04;0.32;"ENGINEERING, ENVIRONMENTAL"
"LAND DEGRADATION & DEVELOPMENT";"1085-3278";"LAND DEGRAD DEV";1751;3.089;2.84;0.755;53;"6.8";0.00294;0.691;"SOIL SCIENCE"
"LAND DEGRADATION & DEVELOPMENT";"1085-3278";"LAND DEGRAD DEV";1751;3.089;2.84;0.755;53;"6.8";0.00294;0.691;"ENVIRONMENTAL SCIENCES"
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY";"1095-6433";"COMP BIOCHEM PHYS A";8876;1.966;2.258;0.508;122;">10.0";0.01017;0.657;"ZOOLOGY"
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY";"1095-6433";"COMP BIOCHEM PHYS A";8876;1.966;2.258;0.508;122;">10.0";0.01017;0.657;"PHYSIOLOGY"
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY";"1095-6433";"COMP BIOCHEM PHYS A";8876;1.966;2.258;0.508;122;">10.0";0.01017;0.657;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"JOURNAL OF VEGETATION SCIENCE";"1100-9233";"J VEG SCI";6898;3.709;3.752;0.881;134;">10.0";0.00997;1.206;"PLANT SCIENCES"
"JOURNAL OF VEGETATION SCIENCE";"1100-9233";"J VEG SCI";6898;3.709;3.752;0.881;134;">10.0";0.00997;1.206;"FORESTRY"
"JOURNAL OF VEGETATION SCIENCE";"1100-9233";"J VEG SCI";6898;3.709;3.752;0.881;134;">10.0";0.00997;1.206;"ECOLOGY"
"Flora Mediterranea";"1120-4052";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLANT BIOSYSTEMS";"1126-3504";"PLANT BIOSYST";1508;1.92;1.863;0.296;135;"3.7";0.00301;0.326;"PLANT SCIENCES"
"JOURNAL OF LIMNOLOGY";"1129-5767";"J LIMNOL";760;1.178;1.321;0.759;54;"5.5";0.00174;0.396;"LIMNOLOGY"
"Zoologica Baetica";"1130-4251";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la Asociacion Herpetologica Espanola";"1130-6939";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Butlleti de la Societat Catalana de Lepidopterologia";"1132-7669";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la SEA";"1134-6094";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Galemys";"1137-8700";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SCRIPTA NOVA-REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES";"1138-9788";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"International microbiology : the official journal of the Spanish Society for Microbiology";"1139-6709";"INT MICROBIOL";1115;1.326;2.102;0;19;"9.8";0.00123;0.606;"MICROBIOLOGY"
"International microbiology : the official journal of the Spanish Society for Microbiology";"1139-6709";"INT MICROBIOL";1115;1.326;2.102;0;19;"9.8";0.00123;0.606;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY";"1146-609X";"ACTA OECOL";2502;1.617;1.915;0.564;94;"7.8";0.0047;0.631;"ECOLOGY"
"ZOOTAXA";"1175-5326";"ZOOTAXA";11168;0.906;0.945;0.283;1867;"4.1";0.02571;0.204;"ZOOLOGY"
"PHYTOTAXA";"1179-3155";"PHYTOTAXA";1321;1.318;1.444;0.457;650;"1.8";0.00368;0.331;"PLANT SCIENCES"
"ECOSCIENCE";"1195-6860";"ECOSCIENCE";1605;0.975;1.467;0.111;9;">10.0";0.00167;0.493;"ECOLOGY"
"CLINICAL MICROBIOLOGY AND INFECTION";"1198-743X";"CLIN MICROBIOL INFEC";11650;5.768;5.059;1.254;393;"4.2";0.0375;1.649;"MICROBIOLOGY"
"CLINICAL MICROBIOLOGY AND INFECTION";"1198-743X";"CLIN MICROBIOL INFEC";11650;5.768;5.059;1.254;393;"4.2";0.0375;1.649;"INFECTIOUS DISEASES"
"FOLIA GEOBOTANICA";"1211-9520";"FOLIA GEOBOT";970;1.778;1.75;0.452;31;">10.0";0.00097;0.493;"PLANT SCIENCES"
