Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
NANOTECHNOL REV;2191-9089;99;1.273;1.273;0.455;33;;0.00036;0.339
NAT CHEM;1755-4330;16973;25.325;26.763;6.707;133;3.3;0.09468;9.938
NEW J CHEM;1144-0546;12070;3.086;2.986;0.769;763;5.7;0.01887;0.623
OXID COMMUN;0209-4541;279;0.451;0.315;0.048;104;4.5;0.00030;0.036
PHARM RES-DORDR;0724-8741;19453;3.420;4.290;0.551;283;9.5;0.02113;1.037
PHARMAZIE;0031-7144;3117;1.052;1.058;0.191;162;>10.0;0.00298;0.221
PROG CHEM;1005-281X;1181;0.687;0.606;0.180;178;4.8;0.00220;0.111
PRZEM CHEM;0033-2496;758;0.399;0.332;0.130;368;3.3;0.00076;0.032
PURE APPL CHEM;0033-4545;14265;2.492;3.202;0.439;148;>10.0;0.01165;0.921
QUIM NOVA;0100-4042;3930;0.661;0.916;0.086;266;7.2;0.00516;0.189
RES CHEM INTERMEDIAT;0922-6168;1896;1.221;1.141;0.270;282;4.0;0.00294;0.201
REV CHIM-BUCHAREST;0034-7752;1269;0.810;0.621;0.265;306;3.9;0.00131;0.062
REV ROUM CHIM;0035-3930;643;0.311;0.423;0.000;44;7.2;0.00086;0.084
RSC ADV;2046-2069;25597;3.840;3.907;0.597;8426;1.7;0.06230;0.747
RUSS CHEM B+;1066-5285;3145;0.481;0.547;0.078;141;9.1;0.00330;0.118
RUSS CHEM REV+;0036-021X;3286;2.318;2.868;0.652;46;>10.0;0.00311;0.738
RUSS J GEN CHEM+;1070-3632;3130;0.477;0.461;0.129;427;>10.0;0.00294;0.090
S AFR J CHEM-S-AFR T;0379-4350;177;0.629;0.480;0.222;9;5.6;0.00035;0.109
SAR QSAR ENVIRON RES;1062-936X;788;1.596;1.645;0.302;53;6.5;0.00115;0.339
SCI CHINA CHEM;1674-7291;1756;1.695;1.448;0.519;208;2.8;0.00561;0.313
SEP SCI TECHNOL;0149-6395;5093;1.171;1.294;0.148;330;8.6;0.00663;0.299
SMALL;1613-6810;26638;8.368;8.646;1.704;581;4.3;0.07671;2.254
SOLID FUEL CHEM+;0361-5219;181;0.198;0.196;0.052;58;6.9;0.00013;0.024
SOLVENT EXTR ION EXC;0736-6299;1870;1.404;1.991;0.417;48;>10.0;0.00157;0.425
SOLVENT EXTR RES DEV;1341-7215;189;1.000;0.875;0.385;26;5.5;0.00025;0.152
STRUCT CHEM;1040-0400;2117;1.837;1.596;0.355;183;4.3;0.00371;0.282
STUD U BABES-BOL CHE;1224-7154;72;0.191;0.118;0.034;29;;0.00020;0.023
SUPRAMOL CHEM;1061-0278;2286;2.394;1.967;0.481;108;6.7;0.00388;0.479
THEOR EXP CHEM+;0040-5760;527;0.815;0.690;0.083;48;9.8;0.00057;0.131
TOP CURR CHEM;0340-1022;5774;4.464;5.325;5.385;13;8.0;0.01230;1.835
TURK J CHEM;1300-0527;1322;1.117;1.152;0.226;106;8.2;0.00130;0.198
ULTRASON SONOCHEM;1350-4177;7550;4.321;4.391;1.438;281;5.0;0.01119;0.794
WIRES COMPUT MOL SCI;1759-0876;2014;11.885;11.118;6.054;37;2.5;0.00853;3.338;

