JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J GEOPHYS RES;0148-0227;187781;3.426;3.667;0.644;3015;>10.0;0.31486;1.445;
J GEOSCI-CZECH;1802-6222;188;1.405;1.087;0.440;25;4.8;0.00077;0.469;
J GEOTECH GEOENVIRON;1090-0241;5485;1.600;1.921;0.366;175;9.0;0.01083;0.817;
J GLACIOL;0022-1430;5668;3.240;3.490;0.683;104;>10.0;0.01186;1.453;
J HYDROL;0022-1694;33300;3.053;3.912;0.488;830;8.6;0.04911;1.124;
J MARINE SYST;0924-7963;5869;2.508;3.112;1.535;215;6.8;0.01131;1.052;
J PALEOLIMNOL;0921-2728;3316;2.120;2.333;0.313;67;9.1;0.00538;0.711;
J PETROL GEOL;0141-6421;759;1.472;1.580;0.190;21;>10.0;0.00076;0.480;
J QUATERNARY SCI;0267-8179;3530;3.357;3.058;0.675;77;7.5;0.00772;1.078;
J S AM EARTH SCI;0895-9811;2159;1.367;1.678;0.212;99;9.1;0.00359;0.531;
J STRUCT GEOL;0191-8141;8432;2.884;2.895;0.638;149;>10.0;0.01104;1.044;
J VOLCANOL GEOTH RES;0377-0273;10361;2.543;2.700;0.822;219;9.3;0.01720;1.038;
JOKULL;0449-0576;229;0.765;0.718;;;9.3;0.00018;0.291;
LANDSCAPE ECOL;0921-2973;6054;3.500;3.861;0.588;131;7.6;0.01080;1.213;
LANDSLIDES;1612-510X;1310;2.870;3.205;0.329;85;5.4;0.00304;0.875;
MAR GEOL;0025-3227;11232;2.710;3.375;0.846;169;>10.0;0.01312;1.151;
MAR PETROL GEOL;0264-8172;5050;2.639;2.957;0.698;205;6.9;0.01217;1.039;
MATH GEOSCI;1874-8961;592;1.653;1.915;0.422;45;4.0;0.00322;0.824;
NAT GEOSCI;1752-0894;12258;11.740;13.579;2.932;147;4.0;0.08698;7.463;
NAT HAZARD EARTH SYS;1561-8633;4074;1.735;2.168;0.429;231;4.5;0.01305;0.660;
NAT HAZARDS;0921-030X;4857;1.719;1.953;0.260;507;4.5;0.01214;0.527;
NAT HAZARDS REV;1527-6988;557;1.143;1.196;0.258;31;8.5;0.00091;0.514;
NETH J GEOSCI;0016-7746;304;1.197;1.071;0.333;12;7.1;0.00066;0.367;
NEW ZEAL J GEOL GEOP;0028-8306;1351;2.096;1.277;0.886;35;>10.0;0.00126;0.581;
NORW J GEOL;0029-196X;831;2.225;2.267;2.000;12;>10.0;0.00094;0.660;
P I CIVIL ENG-GEOTEC;1353-2618;419;0.933;0.897;1.234;47;6.3;0.00089;0.340;
PALAEOGEOGR PALAEOCL;0031-0182;17076;2.339;2.942;0.554;368;8.8;0.02732;0.996;
PALEOCEANOGRAPHY;0883-8305;6835;3.738;4.083;0.580;81;>10.0;0.01241;2.159;
PETROL EXPLOR DEV+;1000-0747;1007;1.592;;0.228;101;4.6;0.00183;;
PETROL GEOSCI;1354-0793;744;1.207;1.907;0.680;25;8.1;0.00183;0.822;
PETROLOGY+;0869-5911;682;1.111;1.225;0.273;33;8.4;0.00157;0.544;
PHOTOGRAMM ENG REM S;0099-1112;5926;1.608;2.325;0.238;84;>10.0;0.00397;0.577;
PHOTOGRAMM REC;0031-868X;526;1.038;1.432;0.381;21;8.4;0.00063;0.339;
PHYS CHEM EARTH;1474-7065;3159;1.477;1.666;0.175;57;7.6;0.00495;0.489;
PHYS GEOGR;0272-3646;775;0.839;1.155;0.143;28;>10.0;0.00070;0.309;
POL POLAR RES;0138-0338;454;1.275;1.274;0.367;30;8.8;0.00066;0.353;
POLAR RES;0800-0395;1195;1.141;1.894;0.400;35;>10.0;0.00215;0.716;
POLAR SCI;1873-9652;197;0.952;0.973;0.484;31;4.2;0.00083;0.354;
PRECAMBRIAN RES;0301-9268;12318;5.664;5.570;1.085;248;7.7;0.01783;1.407;
PROG PHYS GEOG;0309-1333;2749;2.612;4.179;0.487;39;9.1;0.00412;1.330;
Q J ENG GEOL HYDROGE;1470-9236;783;1.013;0.947;0.407;27;>10.0;0.00081;0.269;
QUAT GEOCHRONOL;1871-1014;1832;2.687;3.705;1.029;68;4.5;0.00696;1.266;
QUATERN INT;1040-6182;8690;2.062;2.481;0.957;580;4.7;0.02134;0.711;
QUATERNAIRE;1142-2904;418;0.741;0.838;0.318;22;9.1;0.00056;0.240;
QUATERNARY RES;0033-5894;6683;2.544;2.676;1.125;104;>10.0;0.00821;1.004;
QUATERNARY SCI REV;0277-3791;16740;4.572;5.039;1.305;321;6.9;0.03902;1.807;
REV MEX CIENC GEOL;1026-8774;457;0.570;0.802;0.167;30;6.8;0.00081;0.214;
ROCK MECH ROCK ENG;0723-2632;1871;2.420;2.373;0.224;156;6.5;0.00442;0.770;
RUSS GEOL GEOPHYS+;1068-7971;1818;1.308;1.274;0.137;124;7.0;0.00376;0.402;
RUSS J PAC GEOL;1819-7140;108;0.338;0.376;0.081;37;4.3;0.00040;0.120;
SCI CHINA EARTH SCI;1674-7313;1475;1.491;1.754;0.285;277;3.2;0.00652;0.531;
SOIL DYN EARTHQ ENG;0267-7261;3073;1.215;1.668;0.189;185;7.5;0.00749;0.628;
SPAT STAT-NETH;2211-6753;64;1.605;1.605;0.103;29;;0.00035;0.580;
SPE RESERV EVAL ENG;1094-6470;1213;0.990;1.258;0.125;48;7.8;0.00367;0.727;
SURV REV;0039-6265;259;0.533;0.581;0.040;50;6.1;0.00082;0.241;
SWISS J GEOSCI;1661-8726;438;1.267;1.410;0.158;19;5.7;0.00125;0.473;
TERR ATMOS OCEAN SCI;1017-0839;935;0.703;0.971;0.106;66;8.1;0.00205;0.376;
TERRA NOVA;0954-4879;3075;2.639;2.856;0.610;59;>10.0;0.00510;1.104;
TURK J EARTH SCI;1300-0985;487;1.172;1.179;0.140;43;6.1;0.00126;0.408;
Z DTSCH GES GEOWISS;1860-1804;181;0.569;0.611;0.683;41;4.2;0.00041;0.172;
Z GEOMORPHOL;0372-8854;1150;0.734;0.882;0.408;49;>10.0;0.00114;0.256;

